Phylum,学名,图片,标签,简介,详细介绍
archaeocyatha,古杯动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492625020492&di=abaab9aeafe657cda281844de3d7dd3b&imgtype=0&src=http%3A%2F%2Fzs2.poluoluo.com%2Fd3%2FUploadFiles_4831%2F201104%2F2011040115370265.gif,自然 生物物种 动物,古杯动物是一门已绝灭的浅海底栖的多细胞生物,其单体外形酷似杯状，故名“古杯”。古杯动物的生物的归属尚有争议，曾被视为海绵一类的多孔动物，现在一般视为一个独立的动物门。该门生物出现于寒武纪早期，并于晚期灭绝。
porifera,多孔动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492625040144&di=e12e529feed56887fa34938d62a94285&imgtype=0&src=http%3A%2F%2Fimg5.iqilu.com%2Fc%2Fu%2F2015%2F0504%2F1430708243924.jpg,自然 生物物种 动物,多孔动物门（学名：Porifera）为原始的多细胞生物，也称海绵动物门（Spongiatia或Spongia），一般称为海绵。,"海绵没有神经、消化和循环系统，相反，它们大多依靠海水流过自己的身体来获得食物和氧气并消除废物，就像海底中的滤水器。海绵动物体壁上有很多小孔（入水孔），游离的一端有大孔开口。海绵的体型多种多样，小的不过几克，大的却有45公斤，最大的海绵跨度能有4.2米。海绵的颜色同样是丰富多彩。细胞虽已开始分化，但未形成组织和器官，也没有形成真正的胚层（见内胚层、中胚层或外胚层）；体壁由内、外两层细胞构成。外层细胞扁平，称皮层（扁细胞层）；内层细胞称胃层（襟细胞层），生有鞭毛，多数具有原生质领，称“领细胞”（choanocytes），主要行摄食和细胞内消化的作用；入水孔通入体内的沟道，与领细胞组成鞭毛室和出水口组成复杂的沟道系统。含有食饵的海水，由于内层细胞鞭毛的不断振动，从入水孔流入体内，不消化的东西随着海水从顶端的出水口排出体外。在内、外两层细胞之间，还有一层中胶层，其中有像变形虫的游离细胞、生殖细胞、造骨细胞、海绵丝细胞等。海绵动物体壁内多具有支持的针状骨骼，称内骨骼（Endoskeleton），由胶原蛋白（collagen）、碳酸钙（CaCO3）和二氧化硅（SiO2）组成。海绵没有神经系统，但海绵细胞共同捕食、分工消化，所以被认为是动物界器官形成的开始。大多为雌雄同体（Hermaphroditic)"
placozoa,扁盘动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1493298902&di=5e357c2b74d1c69470b3f6122123e1b3&imgtype=jpg&er=1&src=http%3A%2F%2Fa3.att.hudong.com%2F54%2F99%2F300000057127130760995678460_950.jpg,自然 生物物种 动物,扁盘动物门（学名：Placozoa）是无脊椎动物的基群。扁盘动物是结构最简单的非寄生多细胞动物。,扁盘动物与多孔动物门的动物一样，与动物界其他动物之间缺乏关联性，被认为是最接近合胞体假说中预测的多细胞动物始祖。扁盘动物门由德国原生动物学家Karl Gottlieb Grell (1912-1994)于1971年建立。一般认为仅有黏丝盘虫（Trichoplax adhaerens）一个种，不过有足够的基因歧异度表明可能有多个形态上相似的种。
monoblastozoa,单胚动物门,http://e.hiphotos.baidu.com/baike/w%3D268%3Bg%3D0/sign=2572f73882025aafd33279cdc3d6cc59/4a36acaf2edda3cc88b809d801e93901203f92ee.jpg,自然 生物物种 动物,单胚动物门是动物界生物分类法的一个门，这种类的生物只有咸水虫 (S. salve)一种。1892年由J. Frenzel 于阿根廷发现，自此再没有被发现过。,咸水虫是一种是否存在还有争议的动物，被单独划分到单胚动物门（该门只有这一个种）之下。由J. Frenzel 1892年在阿根廷的一个盐田中发现，并在实验室中被培养。之后该物种再也没有被发现，因此其存在受到质疑。咸水虫比原生动物结构更复杂，但仍然是简单的多细胞生物，其最大的特点是头尾处（尤其是口和肝门部分）有稠密的纤毛；只有一层外表皮细胞，可以通过横向的分裂进行无性繁殖，没有存在的证据可以证明它可以进行有性繁殖。一种分类方法将单胚动物门归在中生动物亚界之下，而事实上中生动物是多系群且单胚动物门与中生动物门中的另外两个门（菱形动物门和直泳动物门）存在显著的差异。
ctenophora,栉水母动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492625192657&di=dbb0e5873acba854e6153500020998f8&imgtype=0&src=http%3A%2F%2Fa0.att.hudong.com%2F07%2F94%2F300000057127130760941823111.jpg,自然 生物物种 动物,栉水母（学名：Ctenophora），又名海胡桃，是一类两胚层动物，属辐射对称动物，现被划分为栉水母动物门。原和刺胞动物一起分在腔肠动物门，作为无刺胞亚门，现分出。,有较发达的中胶层，拥有简单的网状神经系统和肌肉系统。两胚层；伞缘下延，向内收缩，致身体成球形、卵圆形、扁平形等，体外具有栉板排列成纵行的纤毛带8条，触手没有刺细胞；身体左右对称或呈辐射对称，胶质厚而透明，游泳时振动栉板；反口极有一平衡感觉器；没有胃丝。生物学上，栉水母与水母为不同门，因栉水母并无刺胞。通过全基因组测序，发现栉水母是最古老的多细胞动物，而很多结构远比栉水母简单的生物（如海绵生物门，也叫多孔动物门，以及扁盘生物，这些生物都有一定的细胞分化，没有组织分化，没有形成胚层，没有神经系统，没有肌肉系统），反而与高等生物关系更近。从基因组和转录组分析，最早的多细胞生物祖先没有神经系统和肌肉系统，栉水母和水母发生了趋同进化，两者独立的进化出了神经系统。 栉水母的神经发育及运作的基础机制不同于水母。例如，水母及其他高等动物中神经系统发育关键基因在栉水母中都不存在。同样，栉水母也不使用水母及其他动物常用的神经递质，如多巴胺，乙酰胆碱，血清素等。于此同时，栉水母依赖使用谷氨酸作为最主要的神经递质，尽管其他动物同样使用谷氨酸作为神经递质，但栉水母中谷氨酸受体基因远比其他动物的多。由于其他动物的神经系统都是由原始水母的神经系统进化出来的，拥有与水母相同的基础机制，因此可以认为栉水母的神经系统是独立于其他动物的全新的神经系统。
cnidaria,刺胞动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492625208229&di=b4f10cd0c6880d1a5972e0c7fca177f9&imgtype=0&src=http%3A%2F%2Fa2.att.hudong.com%2F25%2F22%2F20300000057127130728226629980_02_250_250.jpg,自然 生物物种 动物,刺胞动物门（Cnidaria ），又名刺丝胞动物门，是动物界的一个门。除极少数种类为淡水生活外，绝大多数种均为海洋生活，大多数在浅海，有些在深海，现存种类大约有11000种。,"刺丝胞动物门动物有如下特点：大部分为肉食性，少部分种类获得能量来自于体内共生生物行光合作用得来的。其躯干呈辐射对称，水生，大多固着生活体壁有两层细胞组成，表皮和肠表皮，两者之间有一层凝胶状的中胶层，起支持作用。有肠腔，有一围口部（Peristom），既是口也是肛门。有超过20种的刺胞，刺丝胞中含有刺丝囊。刺丝囊一端的鬃样突起的刺针，受刺激时，激起刺丝囊排空。刺丝胞的表面有突出，胞体内有棍状结构。刺胞内有高尔机体分泌物质，在压力作用下会释放。在肠腔中进行胞外消化弥散的神经系统，呈网状水母体有感觉器官，能感受光和重力有雌雄同体或异体水母、珊瑚、海葵、水螅都被归类为刺丝胞动物。"
myxozoa,黏体动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492706497621&di=c0a6ff0a3be6e7431e6a0a7c9d517aea&imgtype=0&src=http%3A%2F%2Fa1.att.hudong.com%2F76%2F87%2F20300543460608144594873632626_s.jpg,自然 生物物种 动物,非常进化的刺胞动物门成员，而水母是其最近缘。,黏体动物（学名Myxozoa）是一类水中的寄生虫。其下已知有超过1300个物种，当中很多需要两个寄主，如鱼类及环节动物或外肛动物。粘孢子虫的孢子平均约有10-20微米大；而Malacosporea的孢子则达2毫米大。有瓣的孢子会造成感染。这些孢子内含有1-2个孢子母细胞及1个或以上的极囊，极囊内有极丝可以将孢子固定在寄主之上。孢子母细胞接着会被释放成为伪足孢子，可以穿透寄主的组织，发展成1个或以上的多核原生质团。某些核会再次组合，其中一个会吞噬另一个，形成新的孢子。
trilobozoa,三叶动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492707449052&di=da1202a40309d73e00278eef96795610&imgtype=0&src=http%3A%2F%2Fimg0.dili360.com%2Frw9%2Fga%2FM00%2F02%2FAA%2FwKgBzFQ26deAScnJAAVDd4T8hP8444.jpg,自然 生物物种 动物,三叶动物门（Trilobozoa），又名三裂动物门，是一个已经完全灭绝的动物门类，在分类上属辐射对称动物，身体呈特殊的三重对称结构。其化石仅出现于寒武纪大爆发之前的埃迪卡拉纪地层当中。,大多数的三叶动物呈盘状，其中以三星盘虫(Tribrachidium)[注 1]为代表。在互相比较之下，每种三叶动物在不同的生长阶段都发展出不同的“腕”的构造。
nematoda,线虫动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492626012661&di=a50a44490c8e278657d2aa25b3e9ce76&imgtype=0&src=http%3A%2F%2Fa4.att.hudong.com%2F36%2F26%2F31300542957414142621266297223.jpg,自然 生物物种 动物,线虫动物门（学名：Nematoda）是动物界中最大的门之一，为假体腔动物，绝大多数体小呈圆柱形，又称圆虫（roundworms）。,"线虫的物种很不容易区分，有相关描述的已超过二万五千种[2][3]，其中超过一半是寄生性的（包括许多植物及人类在内动物的病原体）[4]。线虫的物种数估计超过一百万种[5]，只有节肢动物比线虫更多样化。线虫的消化系统是有二个开口的管状消化系统，和刺胞动物门及扁形动物门不同。线虫几乎已适应了地球所有的生态系，从海洋（海水）到淡水、土壤、极地到赤道、也包括不同海拔高度的地区。它们在淡水、海水、陆地上随处可见，并在极端的环境如南极和海沟都可发现，其个体数量及物种个数会常常超过其他的动物，甚至在高山、沙漠、南极和海沟中都可以生存。在岩石圈每个部分都有线虫的存在[6]，甚至是在南非地下900米到3600米深的金矿坑表面也不例外[7][8] [9][10][6]。海床上有90%的动物是线虫[11]。线虫的数量众多，常常每立方米就有上百万个线虫，占地球所有动物的80%，线虫生命周期的多様性，在各种营养条件下都有存在，也使得他们在许多生态系统中有重要的影响[12]。有些线虫会有隐生的特性。线虫原先在1919年被Nathan Cobb命名为Nemata。后来，它们被降级为囊蠕虫中的一纲，最后才被重新分类至线虫动物门。"
nematomorpha,线形动物门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492626041268&di=86badf29a0869cd3979cf889376047fd&imgtype=0&src=http%3A%2F%2Fimg.ifeng.com%2Ftres%2Ffinance%2Fupload%2Fimages%2F2009%2F0525%2F095339%2F8_702139_0b3d02a29b26f067a2f25fcd7a7ed2a2.jpg,自然 生物物种 动物,线形虫动物门是动物界的一个门，这一类假体腔动物与线虫很相似，但成虫没有排泄器官、消化道退化。线形虫动物门大约有250种。,"线形虫动物门是动物界的一个门，这一类假体腔动物与线虫很相似，但成虫没有排泄器官、消化道退化。线形虫动物门大约有250种。线形虫动物门分为2个目：铁线虫目（Gordioidea）游线虫目（Nectonematoidea）游线虫属（Nectonema"
