Phylum,学名,图片,标签,简介,详细介绍
Dinoflagellata,双鞭毛虫门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492624675831&di=fad7f5b004f70a9e0f2dda4ddfa4b7b0&imgtype=0&src=http%3A%2F%2Fi6.qhimg.com%2Fdr%2F270_500_%2Ft01853f615caefe699e.jpg,自然 生物物种 微生物,双鞭毛虫门（Dinoflagellata）过去算作藻类植物的一门。目前被分类为囊泡藻界的一个门。约1000种。分布于池塘、湖泊和海洋中。,"也有称作“甲藻门”的。但是，根据《中国生物物种名录》2011版，在双鞭毛虫门之下设有甲藻纲。Dinoflagellata是旋(希腊语的 δ?νο? dinos)+鞭毛虫(flagellate)之意。由于该门的种类有一半为自营，另一半为异营。也有很多物种是混合营养。[2]所以长期以来植物学家与动物学家把该门划入自己的研究领域，分别称为“甲藻”与“双鞭毛虫”。植物学家把它们视作一大类的藻类，命名为Pyrrophyta或Pyrrhophyta，意为""fire algae""，其中pyrr(h)os是希腊语的“火”之意。双鞭毛虫(甲藻)具有很高的形态多样性，一般为单细胞、双鞭毛。其染色体未结合组蛋白，首尾相接成环状，具有原核细胞的特征，被称为介核生物（mesokaryto）。由于具有从无囊泡变化为有囊泡的形态，再现其进化历史非常困难。甲藻作为主要的初级生产者，在水生生物链中非常重要角色。"
Apicomplexa,顶复门,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Malaria.jpg/220px-Malaria.jpg,自然 生物物种,"顶复门原虫是一类专一性的细胞内寄生原虫,包括弓形虫、隐孢子虫、疟原虫、巴贝斯虫及艾美耳球虫等,是人和动物的重要病原。","顶复门寄生虫；顶质体；内共生；刚地弓形虫；恶性疟原虫.隐孢子虫是顶复门原虫，主要寄生于人或动物的消化道上皮并引起腹泻，是寄生虫学、环境微生物学研究热点之一。入侵过程是由大量的入侵相关蛋白分子所介导的,包括微线、棒状体及致密颗粒所分泌的相关蛋白等。随着生物信息学及分子生物学的发展,顶复门原虫入侵相关蛋白分子的研究资料也日益增多。笔者结合最近几年本课题组的研究成果,综述了顶复门原虫入侵相关蛋白因子的最新进展。顶复门原虫是一类专一性的细胞内寄生原虫,包括弓形虫(Toxoplasmagondii)、隐孢子虫(Cryptosporid-iumspp.)、疟原虫(Plasmodiumspp.)、巴贝斯虫(Babesiaspp.)及艾美耳球虫(Eimeriaspp.)等，是人和动物的重要病原。这类原虫具有相似的亚细胞结构和保守的入侵机制。研究结果表明,入侵过程是由大量的入侵相关蛋白分子所介导的,包括微线、棒状体及致密颗粒所分泌的相关蛋白等。"
Ciliate,纤毛虫门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492624525856&di=9c26289c1616b0a7ef04564acecd00f8&imgtype=0&src=http%3A%2F%2Fwww.shuichanem.com%2Fuploads%2Fallimg%2F160614%2F3_160614100542_3.jpg,生物物种 动物,纤毛虫是一类较复杂的原生动物，主要特点是以纤毛作为运动器，细胞核一般分化出大核、小核、摄食胞器等，无性生殖为横二分裂，有性生殖为接合生殖，生活在淡水或海水中，也有寄生的。,纤毛虫（ciliate）具纤毛的单细胞生物，纤毛为用以行动和摄取食物的短小毛发状小器官。通常指纤毛亚门(Ciliophora)的原生动物，约有8000个现存种，纤毛通常呈行列状，可汇合成波动膜、小膜或棘毛。绝大多数纤毛虫具有一层柔软的表膜和近体表的伸缩泡。有些有丝泡、毒囊或菌囊等小器官，其功能尚不甚了解。虽然大部分纤毛虫营自由生活和水生生活，但有些种类如致痢疾的肠袋虫属(Balantidium)则是寄生的。还有许多种类是在无脊椎动物的鳃或外皮上营外共栖生活。有性现象包括接合(个体之间核的交换)和自体受精(在一个体内核的重建)，无性生殖通常是出芽或横向的二分裂。纤毛虫滋养体为圆形或椭圆形，大小为 (50～200)&micro;m×(20～80)&micro;m，无色透明或呈淡绿灰色，外被表膜覆盖斜纵行的纤毛，包绕整个虫体。滋养体借助纤毛的行规则的摆动或旋转运动，易变形。在滋养体前端有一凹陷的胞口(cytostome)，下接胞咽，借助胞口纤毛的摆动，将颗粒状食物如淀粉粒、细胞、细菌、油滴状物等送入胞咽。进入胞内颗粒形成食物泡，消化后残留物经胞肛（cytopyge）排出胞外。纤毛虫具有大核和小核。大核一至几十个，控制代谢和发育功能；小核一至几百个，为接合所必需，但对於生存并不是必需的。这种遗传物质的分离与复杂的细胞质分化有密切关系。纤毛亚门可能是一个高度特化的类群，仅有一纲——纤毛纲(Ciliatea)，并以纤毛为依据分成四个亚纲︰全毛亚纲(Holotrichia)、缘毛亚纲、吸管亚纲和旋毛亚纲。纤毛虫的体形多样化，有球形、椭圆形、瓶形、杯形、树枝形等。其营养体在成熟期营固着生活，用柄或身体后端固着在各种基质上。纤毛虫具有大核和小核各一，偶尔也可见到几个小核，以二分裂法增殖或接合生殖。前者采取无丝分裂，后者为有丝分裂。接合生殖时，遗传特征由小核传递，但也有证据表明大核可能含有决定虫体表型特征的因子。小核又称生殖核（泡状核）：内含遗传物质，生殖作用。大核又称营养核（致密核）：控制营养物质的进出 。
Euglenozoa,眼虫门,http://a.hiphotos.baidu.com/baike/s%3D235/sign=ad0eded39f25bc312f5d069b6bde8de7/9e3df8dcd100baa14dea4ca64110b912c9fc2eec.jpg,生物物种 微生物,其名字的来源是因为它们有眼斑，它与趋光性有关。,眼虫为长梭形或圆柱形而带扁平的单细胞藻体，由前端小凹陷生出细长鞭毛一条，其运行方式犹如螺旋桨，其推进能使得眼虫向前运动；鞭毛基部附近有红色小点能感光，称眼点；眼虫没有细胞壁，有一层富有弹性的表膜，所以身体可以伸缩变形，少数种类表膜很硬，不能变形。它们主要生活在淡水，也有在湿土表面，在含有有机物较多的水中，生长旺盛时，看上去水成为绿色的一片。这种绿色代表了眼虫大多数种有叶绿体，可以进行光合作用（自养型生物）。也有种类的眼虫是异养型生物，它们靠溶在水中的物质生存。但也有很多种类同时行两种营养方式。眼虫是单细胞生物，既不为植物，也不为动物。它不同的习性，例如摄食，排泄，新陈代谢，生长，繁殖，感受刺激性又使之与众不同，成为独立的一门。当眼虫发育成熟后，它会分裂为两个新细胞，或者和另一个细胞进行生育。新陈代谢方面它有两种方式：光合作用或者是摄取周围的养料。被称之为兼养型生物，如果没有光，它就会分解自身存储的养料或者是摄取周围的养料度日。光对于眼虫来说是性命攸关的。它避免与其他物体接触。它对温度敏感。感光和运动是眼虫的主要事务。液泡根据身处环境的溶液浓度的不同，收缩扩大的速度也不同。
Percolozoa,透色门,http://www.twword.com/uploads/wiki/fb/bf/596003_1.jpg,生物物种 微生物,透色门（Percolozoa)是古虫界的一门，包括许多可以在变形虫、鞭毛虫、囊状形态之间切换的物种。,大多数的形态在鞭毛虫与似变形虫之间.代表生物：耐格里原虫（Naegleria）、集胞黏菌（Acrasis）
Metamonad,后滴门,http://p0.so.qhmsg.com/bdr/_240_/t01339b083e314fbb5f.jpg,生物物种 微生物,暂无简介,暂无简介
Radiolarian,放射虫门,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Radiolaria.jpg/225px-Radiolaria.jpg,生物物种 动物,放射虫门（学名：Radiolarian）又名放线虫，为海中浮游生物，有如球形对称，带有硅壳，壳上有美丽的花纹。,身体内有膜质中央囊，囊面穿有许多小孔，将身体分为内外两部分，外部被胶状物质，多有液泡，内部有细胞核、液泡和赤、黄等色的油滴；通常均由身体中央射出针状骨棘，间或多数针状物相集成层或互相连络而成笼状，形状精细繁多；多以分裂法繁殖，也有以孢子繁殖的。放射虫多产于热带海洋中，因为迅速的繁殖与过多的物种，是诊断化石的重要依据，可从寒武纪开始。放射虫有很多针状伪足的支援，即所谓axopods，可承受放射虫的浮力。
Foraminifera,有孔虫门,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Live_Ammonia_tepida.jpg/250px-Live_Ammonia_tepida.jpg,自然 生物物种,有孔虫门（拉丁语：Foraminifera），为变形虫状（amoeboid）原生生物的大分类。,它们拥有的网状假足及幼细线状细胞质会分散及融合而形成动态的网，它们会形成有一个或多个室的外壳，部分在结构上有高度发展。它们大部分大小小于一毫米，但部分则较大，纪录中最大的样本大小达19厘米。虽然现尚未有形态学上相关的支持，分子资料强力提出因为有孔虫门与丝足虫类（Cercozoa）及放散虫门（Radiolaria）都为变形虫状及有复习外壳，所以有密切关系。这三类形成有孔虫界（Rhizaria）[4]。但有孔虫门与其他类别的实际关系还不是完全清楚。现代有孔虫门生物主要为海洋生物，它们也可以在其他含有一定盐分的环境生存。部分物种在淡水生存及一种在潮湿的雨林土壤中生活。它们在小型底栖生物（meiobenthos）中十分常见，有约40种为浮游生物。但是，这个数字可能只部分正确，因为有很多基因上不同的物种在形态上是不能够区分的。其细胞分为粒状内质（endoplasm）及透明外质（ectoplasm）。其假足状的网可以在一个开口或在外壳的很多穿孔中出现，其特色是当中有细粒在网中自由流动。
Cercozoa,丝足虫类,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Cercomonas_sp.jpg/220px-Cercomonas_sp.jpg,自然 生物物种,丝足虫门是一类原生动物，属于有孔虫界. 也有人主张丝足虫独立为一界.,丝足虫门是一类原生动物，属于有孔虫界. 也有人主张丝足虫独立为一界.丝足虫的主要特征是通过丝状伪足摄食，没有真实的胞口。
Rhodophyta,红藻门,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Laurencia.jpg/240px-Laurencia.jpg,生物物种 植物,红藻门（学名：Rhodophyta），亦作红藻门，是含有藻红素的一门藻类，属于多细胞、真核细胞的生物；约有6000种。,几乎所有的红藻都生活在海洋中，他们生长在涨潮线以下的岩石上或较深的水中，有些物种可以在250米深的海里生长。红藻多营附着生活，不产游动细胞。红藻不具有根茎叶构造，但比任何植物所能生存的深度都深。红藻的颜色来自称为藻红素的色素，其红色遮掩了叶绿素的颜色。红藻生殖产生孢子和异形配子，都不具有鞭毛；雌性生殖器称果胞，上有一延长部分——受精丝，精子不能游动，随水流至果胞，与受精丝接触受精；除部分品种外，还有世代交替现象。
