Phylum,学名,图片,标签,简介,详细介绍
blastocladiomycota,芽枝霉门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492621288448&di=8db8b77584480f7338ea746bf1b953de&imgtype=0&src=http%3A%2F%2Fs11.sinaimg.cn%2Fmw690%2F006iFo8Lzy73bFl3hfs5a%26690,自然 生物物种 微生物,芽枝霉门是真菌中的一门，生存于土壤及淡水之中，且绝大部分为腐生。,芽枝霉门有一纲、一目、五科。其中的三科中，有些物种为病原体，会感染水熊虫、水蚤、线虫、多种水生以半水生的植物，以及孑孓等生物。芽枝霉门原本归于壶菌门之中，但2006年对DNA序列的研究将其和其旁系群－新美鞭菌门提升为门。
chytridiomycota,壶菌门,"https://ss0.bdstatic.com/70cFuHSh_Q1YnxGkpoWK1HF6hhy/it/u=667957232,1693249700&fm=23&gp=0.jpg",自然 真菌 生物物种 微生物,壶菌门（Chytridiomycota）是一类真菌。这个名字来源于希腊文chytridion，意思是“小壶”，表示其结构中有许多未释放的孢子。,壶菌门菌物的营养体形态变化很大，从呈球形或近球形的单细胞至发达的无隔菌丝体。比较低等的壶菌是多核的单细胞，具细胞壁，大多呈球形或近球形，寄生在寄主细胞内的，其营养体在发育的早期没有细胞壁，有的壶菌单细胞营养体的基部还可以形成假根；较高等的壶菌可以形成发达或不发达的无隔菌丝体。壶菌门菌物无性繁殖时产生游动孢子囊，游动孢子囊有的有囊盖，成熟时囊盖打开释放游动孢子；有的无囊盖，通过孢子囊孔或形成出芽释放游动孢子。每个游动孢子囊可释放多个游动孢子。有性生殖大多产生休眠孢子囊，萌发时释放1至多个游动孢子。壶菌门菌物有性生殖方式有多种，大多是通过两个游动孢子配合形成的接合子经发育形成休眠孢子囊；少数通过不动的雌配子囊（藏卵器）与游动配子（精子）的结合形成卵孢子。壶菌目菌物的营养体为单细胞，球形或近球形，有的有假根，或在膨大细胞间有细丝相连接，但不形成典型的无隔菌丝体。多数壶菌目真菌在基质内或寄主细胞内生活，有些为外生的。内寄生的壶菌目真菌营养体发育早期不具细胞壁，为裸露的原质团，后期形成几丁质的细胞壁。我国较常见的是玉蜀黍节壶菌。
glomeromycota,球囊菌门,http://a1.att.hudong.com/33/33/01200000187902134442339031665.jpg,自然 细菌 生物物种 微生物,球囊菌门（学名：Glomeromycota，AM fungi），又称聚合菌门、锈球菌门，是真菌界的七个门之一，目前约已发现400种生物。,"聚合菌可构成陆生植物的丛枝菌根（arbuscular mycorrhizas, AM），也因此被称为“AM Fungi”。许多证据显示在此共生关系中，聚合菌是绝对共生菌，须依赖植物合成的碳及能量才能生存，但有对某些物种的研究表明聚合菌可能可以单独存在。形成菌根的聚合菌广泛的分布在全世界的土壤中，和植物的根（或苔藓植物的假根）形成共生关系，它们也可以生存在盐度很高的沼泽中，和附生植物形成共生关系。一种称为Geosiphon pyriformis的聚合菌（属于球囊霉目）和蓝绿菌中念珠藻属的Nostoc punctiforme形成内共生关系，在此共生关系中，球囊菌形成多核的细胞，并将念珠藻属的蓝绿菌“吞入”。过去常以“Geosiphon pyrifome”称呼此内共生体，但现在这个名称只用来专指真菌，内共生体改以“Geosiphon symbiosis”称呼。聚合菌-念珠藻的共生关系是目前发现的唯一一种真菌和蓝绿菌的内共生关系，它不属于地衣，因为它们涉及细胞内的连结，且就结构与演化上的证据而言这种关系比较类似丛枝菌根。在球囊菌-念珠藻共生关系中，还有一类功能不明、类似细菌的有机物（bacteria like organisms），由于这类有机物出现在球囊菌门的各分枝物种中，而被认为可能在演化的早期就已和聚合菌形成共生关系，并进一步演变成内共生。在整个系统中，念珠藻可独立生存，所以球囊菌是义务性共生者，不过聚合菌除了与念珠藻形成丛枝菌根外，也可与植物形成树状菌根，这个说法尚未获得证实，但已有若干证据支持。球囊菌门的菌丝体是多核的，通常采用无性生殖，在菌丝的末端产生直径约80~500微米[5]的孢子（称为Glomerospores）。在某些情况中，孢子生成后会进一步形成球囊状的构造（saccule）。"
microsporidia,微孢子虫门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492622052660&di=f5c84f030ad61ab5a18de3e8122f9605&imgtype=0&src=http%3A%2F%2Fimage88.360doc.com%2FDownloadImg%2F2015%2F09%2F2112%2F59234202_9.jpg,自然 生物物种,微孢子门(Microsporidia或Microspora)的寄生虫。主要寄生在昆虫的消化道上皮细胞以及鱼类的皮肤和肌肉中，也见於环节动物和某些其他无脊椎动物体内。感染的特点是病变组织肿大。,微孢子虫具有微小的孢子(2～20公忽〔0.00008～0.0008吋〕)，内含单一极丝以及具传染性的孢原质。孢子被新寄主吞食後，虫体进入肠道上皮并经由血液或体腔到达特定组织。在宿主细胞中生长发育并反覆进行无性分裂，每次产生两个或更多的个体。最後，成熟的寄生虫(营养体)经有性生殖产生合子，合子再产生新孢子。蚕微粒子虫(Nosema bombycis)使蚕发生蚕孢子虫病，蜜蜂微粒子虫(N. apis)则在蜜蜂中造成微粒子病。在HIV感染者或艾滋病患者常发现感染微孢子虫，也是引起HIV感染者或艾滋病患者腹泻的重要病原体。
neocallimastigomycota,新美鞭菌门,https://w8.sanwen8.cn/mmbiz/ljDa7I3rzrv3onensxCcPQ44RcMlp28WtWyhc7p4p1rrye8LuIDqKcxcw7XZ7ZHxial04ClFxUib6961rZRoGicBA/640?wx_fmt=jpeg,自然 生物物种,新美鞭菌门是厌氧性真菌的一门，发现于食草动物的消化道中。它只包括一纲、一目、一科，目前已知6属。,新美鞭菌门的真菌为Orpin于1975年首次根据绵羊的瘤胃中发现的运动细胞所描述。尽管这些细胞最初被认为是鞭毛虫，现在已经证明它们是与核心壶菌有亲缘关系的真菌。在此之前，人们只知道瘤胃的微生物群落由细菌和原虫组成。自发现之后，已经从50多种食草动物——包括反刍动物、非反刍哺乳动物和食草爬行动物——的消化道中分离出这类真菌。新美鞭菌门真菌通过游动孢子在反刍动物的胃中繁殖。游动孢子具有基体，但缺乏多数壶菌所具有的无鞭毛中心体。已知新美鞭菌门真菌还能利用基因水平转移制造木聚糖酶（其基因来自细菌）及各种葡聚糖酶。其细胞的核被膜在有丝分裂过程中始终保持不变，亦为其特征。新美鞭菌门真菌缺乏线粒体。它们通过氢化酶体把NADH氧化为NAD+，释放H2作为产物。新美鞭菌门真菌在其宿主对纤维的消化中扮演了重要角色。它们在主要摄入高含量纤维食物的动物的消化道中大量存在。由这些厌氧真菌制造的多糖降解酶可以水解许多不易降解的植物聚合物，因此可以将非木质化的植物细胞壁全部降解。这些多糖降解酶形成多蛋白质复合体，类似于细菌的纤维小体。
ascomycota,子囊菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492622219336&di=3d3ef164bf0ed22a2f45642d6e55f4a1&imgtype=0&src=http%3A%2F%2Fa3.att.hudong.com%2F01%2F57%2F16300000044935127056570074256.jpg,自然 生物物种 微生物,子囊菌门菌物由于有性阶段形成子囊和子囊孢子，故称为子囊菌，是一类高等菌物。各类群在形态、生活史和生活习性上差异很大。,寄生的子囊菌除引起植物病害外，少数可寄生于人、禽畜和昆虫体 朱红丛赤壳菌 朱红丛赤壳菌 上。为害植物的子囊菌多引起根腐、茎腐、果（穗）腐、枝枯和叶斑等症状。子囊菌也可与绿藻或蓝藻共生形成地衣，称为地衣型子囊菌。有的可用于抗生素、有机酸、激素、维生素的生产和酿造工业中，还有的是名贵药用、食用菌，如冬虫夏草、羊肚菌、块菌等。子囊菌的营养体大多是发达的有隔菌丝体，少数（如酵母菌）为单细胞。子囊菌的营养体为单倍体，丝状子囊菌的细胞壁主要成分是几丁质。许多子囊菌的菌丝体可以集合形成菌组织，即疏丝组织和拟薄壁组织，进一步形成子座和菌核等结构，它们与子囊菌的生殖和休眠有关。子囊菌的无性繁殖依种类与环境不同而进行分裂、断裂，或形成休眠孢子或产生分生孢子。不少子囊菌的无性繁殖能力很强，在自然界经常看到的是它们的分生孢子阶段。分生孢子在物种繁衍和病害传播方面占很重要的位置，通常在一个生长季节可连续繁殖多代。目前仍有许多子囊菌缺乏分生孢子阶段的报道，由Reynolds（1993）与Rossman（1993）统计的一组数据显示，约有10%的子囊菌被证实具有分生孢子阶段，其他子囊菌的分生孢子是真正缺乏或尚未被发现目前尚不清楚。子囊和子囊孢子的形成过程，有性生殖开始时，部分菌丝体的分枝先分别分化形成较小的雄器（antheridium）和较大的产囊体（ascogonium）。当雄器与产囊体上的受精丝（trichogyne）接触后，在接触点形成一个孔口，产囊体接受雄器的原生质，发生质配，形成成对的双核。随后从产囊体上形成产囊丝（ascogenous hypha），成对的核（雌核和雄核）移入产囊丝，顶端的双核细胞伸长，并弯曲成钩状的产囊丝钩（crozier）。产囊丝钩中的双核并裂成四核。随之形成两个隔膜，将产囊丝钩分隔为3个细胞，顶端和基部细胞都是单核，中间双核的细胞称作子囊母细胞。子囊母细胞中的双核进行核配，成为一个二倍体的细胞核，很快进行减数分裂形成4个单倍体细胞核，每个单倍体核又各自进行一次有丝分裂，最后形成8个单倍体细胞核。这些细胞核和它们周围的细胞质形成8个子囊孢子（ascospore）(图4-46)。与此同时，子囊母细胞不断膨大伸长，发育形成子囊。子囊母细胞发育过程中，产囊丝钩顶部的单核细胞可以向下弯曲与基部的单胞融合形成双核细胞，并继续生长形成一个新的产囊丝钩，再次形成子囊母细胞并发育成子囊和子囊孢子。这一过程可以重复多次，结果形成成丛的子囊。
pezizomycotina,盘菌亚门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492622247768&di=340bea6ee98607581eaa985e8d248285&imgtype=jpg&src=http%3A%2F%2Fimg2.imgtn.bdimg.com%2Fit%2Fu%3D4285150511%2C3291985035%26fm%3D214%26gp%3D0.jpg,自然 真菌 生物物种 微生物,盘菌亚门是子囊菌门的一亚门。属于大型子囊菌类，且包含了几乎所有可以裸眼观见成熟个体的子囊菌类。此类真菌无性生殖时是经由细胞分裂而不是经由孢芽来生殖的，,盘菌亚门的真菌几乎都是腐生菌，其子囊通常为圆柱形，子囊果呈盘状，子囊排列在盘状子囊果中，子囊盘为中型至大型，无柄或近乎无柄，孢子一般为8个，在子囊中成一行排列。
saccharomycotina,酵母亚门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492622336026&di=cfa561d88e39d3ad9f7cad337cf7d1c4&imgtype=0&src=http%3A%2F%2Fimg0.dili360.com%2Frw9%2Fga%2FM01%2F01%2F82%2FwKgBy1Q2nOCAPVmLAAO1-JKxkfg730.jpg,自然 生物物种 微生物,酵母亚门是子囊菌门中最低级的菌种，只有单细胞，通常单生，有明显的细胞壁和细胞核，有时数个细胞连成串，形成拟菌丝，以出芽的方式繁殖，芽脱落后就形成新个体，没有子囊果。,酵母亚门只包括唯一的酵母纲，酿酒酵母（Saccharomyces cerevisiae）[3]是啤酒酿造中必不可少的，此外有的菌种还应用于面包发酵、石油脱蜡、生产甘油和有机酸等工业中，但假丝酵母属（Candida）的一些菌种也可以使人致病。
taphrinomycotina,外囊菌亚门,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSGHXQx05KdgsEolpijBcwNB0f5omg-jpDLfU_dOJAkF6gpEd-Umg,自然 生物物种 微生物,外囊菌亚门是子囊菌门中的一个比较原始的分支，本门中其他菌种基本是由其进化出的，最新的分子生物学研究证明其是单源种。,外囊菌亚门的种类基本是寄生的，以菌丝或酵母方式寄生在植物的叶、枝或花蕾上，但没有寄生于根部的。许多种类为植物的致病菌。
basidiomycota,担子菌门,"https://ss2.bdstatic.com/70cFvnSh_Q1YnxGkpoWK1HF6hhy/it/u=3083466172,2224472791&fm=21&gp=0.jpg",自然 真菌 生物物种 微生物,担子菌门的真菌基本全为陆生品种，主要特征是由多细胞，有横隔膜的菌丝体组成。,担子菌门的真菌基本全为陆生品种，主要特征是由多细胞，有横隔膜的菌丝体组成，菌丝分为两种，初生菌丝体的细胞只有一个细胞核，次生菌丝体的细胞有两个核，两个核的次生菌丝体可以形成一种子实体，称为担子果（basidium），经过有性繁殖过程，在担子上生成担孢子（basidiospores）；也可以经过无性繁殖过程生成无性孢子或生芽繁殖。担子菌门（Basidiomycota）通称担子菌，主要特征为具有担子的产孢结构，以及外生的称为担孢子的有性孢子。是真菌中最高等的一门，分布极为广泛，数量大、种类多，达2万余种。有可以食用的，有可以药用的，也有许多种类有毒，与人类的生活关系较大。它们与植物共生形成菌根（mycorrhiza），有利于作物的栽培和造林；许多大型担子菌是营养丰富的食用菌，如香菇、猴头、灵芝、竹荪、平菇等，有的具有滋补和药用价值，许多食用的担子菌含有多糖，能提高人体抑制肿瘤的能力以及排异作用，因此担子菌已成为筛选抗肿瘤药物的重要资源。另一方面，有害的担子菌如黑粉菌和锈菌，引起作物的黑穗病和锈病，造成严重的经济损失；有些担子菌能引起森林和园林植物的病害，许多大型的腐生真菌能引起木材腐烂，常造成较大的经济损失。子囊菌门与担子菌门在系统发育上有着密切的关系。本门分类存在很大争议，本站根据新的分类系统，将其分为3纲：黑粉菌纲（Ustilaginomycetes）、锈菌纲（Urediniomycetes）和担子菌纲（Basidiomycetes）。
agaricomycotina,伞菌亚门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492622546675&di=4a96e1cf3044970ee827eac88c284544&imgtype=jpg&src=http%3A%2F%2Fimages.quanjing.com%2Fibrm025%2Fhigh%2Fiblxsa01961210.jpg,自然 生物物种 微生物,伞菌亚门，（学名：Agaricomycotina），也就是熟知的帽菌纲（Hymenomycetes），是真菌分类上担子菌门的下属3个分类之一。,"伞菌亚门包含20,000个物种，而且其中大约98%是属于伞菌纲：大多数真菌是熟知的蕈类，包含篮子菌和马勃菌。伞菌亚门里的物种中，不是伞菌纲的包含了白木耳、一些“酵母菌”、木耳等；这些物种被集合在银耳纲或是花耳纲当中。"
pucciniomycotina,柄锈菌亚门,http://upload.wikimedia.org/wikipedia/commons/f/f8/Puccinia_sessilis_0521.jpg,自然 生物物种 微生物,柄锈菌亚门（学名：Pucciniomycotina）是属于担子菌门的一个亚门。据《真菌词典》（Dictionary of the Fungi）统计，该亚门共包括8个纲、18个目、36个科。,柄锈菌亚门（学名：Pucciniomycotina）是属于担子菌门的一个亚门。据《真菌词典》（Dictionary of the Fungi）统计，该亚门共包括8个纲、18个目、36个科。
ustilaginomycotina,黑粉菌亚门,http://img.zwbk.org/baike/spic/2011/06/25/20110625083844718_9137.jpg,自然 生物物种 微生物,黑粉菌亚门（学名：Ustilaginomycotina）是担子菌门下的一个亚门。该亚门下含根肿黑粉菌纲（Entorrhizomycetes） 、黑粉菌纲（Ustilaginomycetes）、外担菌纲（Exobasidiomycetes）三个纲及马拉色菌目（Malasseziales）。,黑粉菌亚门（学名：Ustilaginomycotina）是担子菌门下的一个亚门。该亚门下含根肿黑粉菌纲（Entorrhizomycetes） 、黑粉菌纲（Ustilaginomycetes）、外担菌纲（Exobasidiomycetes）三个纲及马拉色菌目（Malasseziales）。
