Phylum,学名,图片,标签,简介,详细介绍
acidobacteria,酸杆菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492606870804&di=18c63eff9113d4065ac0a4b316b34c8a&imgtype=0&src=http%3A%2F%2Fp6.qhimg.com%2Fdr%2F250_500_%2Ft017319513489a199f2.jpg,自然 细菌 生物物种 微生物,酸杆菌门(Acidobacteria)是新近被分出的一门细菌。,酸杆菌门(Acidobacteria)是新近被分出的一门细菌。它们是嗜酸菌。对它们研究还很少，但它们在生态系统中具有重要作用，比如土壤中。
actinobacteria,放线菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492606900909&di=48b0d43de6e6a158010f7f71fa2ccaad&imgtype=0&src=http%3A%2F%2Fnews.sznews.com%2Fimages%2Fattachement%2Fjpg%2Fsite3%2F20151113%2F001e4f9d635217af8aee44.jpg,自然 细菌 生物物种 微生物,放线菌门是原核生物中的一个类群，是一类革兰氏阳性细菌，曾经由于其形态被认为是介于细菌和霉菌之间的物种。是一种没有细胞核的原核生物。,因其菌落呈放射状而得名。大多有基内菌丝和气生菌丝，少数无气生菌丝，多数产生分生孢子，有些形成孢囊和孢囊孢子。依靠孢子繁殖。表面上和属于真核生物的真菌类似，从前被分类为“放线菌目”(Actinomycetes)。但因为放线菌没有核膜，且细胞壁由肽聚糖组成，和其它细菌一样。目前通过分子生物学方法，放线菌的地位被肯定为广义细菌的一个大分支。放线菌用革兰氏染色可染成紫色（阳性），和另一类革兰氏阳性菌——厚壁菌门相比，放线菌的GC含量较高。放线菌大部分是腐生菌，普遍分布于土壤中，一般都是好气性，有少数是和某些植物共生的，也有是寄生菌，可致病，寄生菌一般是厌气菌。放线菌有一种土霉味，使水和食物变味，有的放线菌也能和霉菌一样使棉毛制品或纸张霉变。放线菌在培养基中形成的菌落比较牢固，长出孢子后，菌落有各种颜色的粉状外表，和细菌的菌落不同，但不能扩散性的向外生长，和霉菌的也不同。放线菌有菌丝，菌丝直径有1μ，和细菌的宽度相似，但菌丝内没有横隔，和霉菌又不同。
aquificae,产水菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492606915745&di=b3344a8478c1632599e8620fdef2e936&imgtype=jpg&src=http%3A%2F%2Fimg4.imgtn.bdimg.com%2Fit%2Fu%3D944083758%2C3542103958%26fm%3D214%26gp%3D0.jpg,自然 细菌 生物物种 微生物,英文名：Aquificae 产水菌门属于真细菌，但却是从16S rRNA进化树中，细菌中最接近古菌和真核生物的一支，而古菌中也存在大量生活在超高温环境下的种类。,产水菌门 英文名:Aquificae 　包括了一些在多种严酷环境条件下生存的细菌，如在热泉、硫磺池、海底热泉口等等。其中产水菌属(Aquifex)中的一些种类可以在85~95℃的环境中繁衍。产水菌门属于真细菌，但却是从16S rRNA进化树中，细菌中最接近古菌和真核生物的一支，而古菌中也存在大量生活在超高温环境下的种类。
bacteroidetes,拟杆菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492606926826&di=65b54249371460531cd5dc60e0810281&imgtype=0&src=http%3A%2F%2Fwww.bio149.cn%2Fuploads%2Fallimg%2F140220%2F1-140220103558.jpg,自然 细菌 生物物种 微生物,拟杆菌纲的种类很多生活在人或者动物的肠道中，有些时候成为病原菌。在粪便中，以细胞数目计，拟杆菌属(Bacteroides)是主要微生物种类。,"黄杆菌纲主要存在于水生环境中，也会在食物中存在。多数黄杆菌纲细菌对人无害，但脑膜脓毒性金黄杆菌(Chryseobacterium meningosepticum)可引起新生儿脑膜炎。黄杆菌纲还有一些嗜冷类群。鞘脂杆菌纲重要类群为噬胞菌属(Cytophaga)，在海洋细菌中占有较大比例,可以降解纤维素。"
chlamydiae,衣原体门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1493201661&di=d918cc171a621df936e1f79c85dd7f72&imgtype=jpg&er=1&src=http%3A%2F%2Fwww.cnr.cn%2Fjy%2Flist%2F201306%2FW020130626387875765421.jpg,自然 细菌 生物物种 微生物,衣原体门(Chlamydiae)是一门细菌。它们的生长完全在其它生物的细胞内进行，是专性寄生菌。衣原体原先多被归入衣原体属(Chlamydia)，随着分子生物学发展，目前根据系统发育树分为四个科。,衣原体是一种即不同于细菌也不同于病毒的一种微生物。衣原体与细菌的主要区别是其缺乏合成生物能量来源的ATP酶，也就是说衣原体自己不能合成生物能量物质ATP，其能量完全依赖被感染的宿主细胞提供。而衣原体与病毒的主要区别在于其具有DNA、RNA两种核酸、核糖体和一个近似细胞壁的膜，并以二分裂方式进行增殖，能被抗生素抑制。 衣原体的类型和相关疾病 已知的与人类疾病有关的衣原体有三种，分别是鹦鹉热衣原体、沙眼衣原体和肺炎衣原体。这三种衣原体均可引起肺部感染。鹦鹉热衣原体可通过感染有该种衣原体的禽类，如鹦鹉、孔雀、鸡、鸭、鸽等的组织、血液和粪便，以接触和吸入的方式感染给人类。沙眼衣原体和肺炎衣原体主要在人类之间以呼吸道飞沫、母婴接触和性接触等方式传播。
chlorobi,绿菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492606965557&di=f754a79d402829b6a0f08f220007a4cb&imgtype=0&src=http%3A%2F%2Fa1.att.hudong.com%2F85%2F47%2F20300543524552144604478196252_02_250_250.jpg,自然 细菌 生物物种 微生物,绿菌门（Chlorobi）是一类进行不产氧光合作用的细菌。（相应于绿硫细菌，植物、真核藻类和蓝藻的光合作用利用水为电子受体，而被氧化为氧气。）,绿菌门通常不活动（一个种具有鞭毛），形状为球状、杆状或者螺旋状。其生存要求无氧环境和光。它们的光合作用利用一种称作绿体的微囊中附在膜上的菌绿素c、d和e吸收光能。它们利用硫化物作为电子供体，产生单质硫沉积在胞外。这些硫可被进一步氧化生成硫酸盐。由于绿菌门细菌的颜色因菌绿素多显绿色，又被称为绿硫细菌(green sulphur bacteria)。
chloroflexi,绿弯菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492606989367&di=1f8acacec9cfde539487117d68fe75fb&imgtype=0&src=http%3A%2F%2Fe.hiphotos.baidu.com%2Fbaike%2Fs%253D220%2Fsign%3Da8757acf3a292df593c3ab178c305ce2%2Fd000baa1cd11728b7b8b33c2c8fcc3cec2fd2caf.jpg,自然 细菌 生物物种 微生物,通常位于称作绿体的微囊中的一种具有绿色色素的细菌，绿弯菌门 尽管还有一部分称作热微菌的细菌也属於绿非硫细菌。它们具有绿色的色素，包括作为反应中心的菌绿素'和作为天线分子的菌绿素'，通常位于称作绿体的微囊中。,绿弯菌门 尽管还有一部分称作热微菌的细菌也属於绿非硫细菌。它们具有绿色的色素，包括作为反应中心的菌绿素'和作为天线分子的菌绿素'，通常位于称作绿体的微囊中。典型的绿弯菌门细菌是线形的，通过滑行来移动。它们是兼性厌氧生物，在光合作用中不产生氧气，不能固氮。利用3-羟基丙酸途径，而不是常见的卡尔文途径来固定二氧化碳。细胞壁的肽聚糖中含有D-鸟氨酸，类似于革兰氏阳性菌，但革兰氏染色结果仍为阴性。系统发生树显示绿弯菌门和其他的光合细菌具有不同的起源。
chrysiogenetes,产金菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492607093538&di=2828f299190fde367c3e83f592c4117d&imgtype=0&src=http%3A%2F%2Fh.hiphotos.baidu.com%2Fbaike%2Fw%3D268%3Bg%3D0%2Fsign%3D8bf88ca51d950a7b753549c232ea05e4%2Fb2de9c82d158ccbfab7162a919d8bc3eb0354150.jpg,自然 细菌 生物物种 微生物,产金菌门(Chrysiogenetes)是一支独特的细菌，目前只发现了一个种，即砷酸产金菌(Chrysiogenes arsenatis)。,产金菌门(Chrysiogenetes)是一支独特的细菌，目前只发现了一个种，即砷酸产金菌(Chrysiogenes arsenatis)。它具有独特的生活方式和生化过程。它经营化能无机自养，利用对觉得多数生物剧毒的砷作为其营养。砷酸产金菌利用亚砷酸盐作为电子供体，将其氧化成砷酸盐。砷酸产金菌可以在富含亚砷酸盐的地方被发现，比如被砷污染的湖底或者含砷的金矿中。
cyanobacteria,蓝藻门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492607126685&di=3c9a394a14b61ae5735ab1a0acc380ed&imgtype=0&src=http%3A%2F%2Fstatic14.photo.sina.com.cn%2Fbmiddle%2F4a7135b7t7ed312df7f4d%26690.jpg,自然 植物 生物物种 ,蓝藻门是一门藻类植物；能进行光合作用放氧的原核生物。也有人把蓝藻划为生物的一界──蓝菌界 。单细胞个体或群体，或为细胞成串排列组成藻丝（细胞列）的丝状体，不分枝、假分枝或真分枝。具核质，无核膜；色质区主要由类囊体及其有关结构，藻胆体和糖原颗粒等所组成，具叶绿素a、藻胆素、胡萝卜素 、类胡萝卜素等光合色素，但无叶绿体膜，不形成叶绿体；具细胞壁。蓝藻在地球上已存在约30亿年，是最早的光合放氧生物，对地球表面从无氧的大气环境变为有氧环境起了巨大的作用。已知蓝藻约2000种，中国已有记录的约900种。蓝藻有极大的适应性，分布很广。淡水和海水中，潮湿和干旱的土壤或岩石上、树干和树叶上，温泉中、冰雪上，甚至在盐卤池、岩石缝中都有它们的踪迹；有些还可穿入钙质岩石或介壳中（如穿钙藻类）或土壤深层中（如土壤蓝藻）。在热带、亚热带的中性或微碱性生境中生长旺盛。有许多种类是普生性的，如陆生的地耳，不仅在热带、亚热带、温带有，在寒带甚至南极洲也有。,植物体为单细胞、群体或丝状体，细胞内原生质体不分化为细胞质和细胞核，而分化成中心质(centroplasm)和周质(periplasm)两部分。中心质相当于细胞核的位置，无核膜和核仁，但含有染色质，具有核的功能，故称原始核（原核）。蓝藻和细菌细胞构造相同，都没有真核，两者均属原核生物(Prokaryote)。周质位于中央质的四周，蓝藻细胞没有分化出载色体等细胞器。周质中有光合片层，含叶绿素a、藻蓝蛋白（phycocyanin）、藻红蛋白（phycoerythrin）及一些黄色色素，是光合作用的场所。蓝藻细胞壁的主要成分是粘肽（peptidoglycan），在细胞壁的外面有由果胶酸（pectic acid）和粘多糖（mucopolysaccharide）构成的胶质鞘（gelatinous sheath）包围。有的群体为公共的胶质鞘所包被。贮藏物质为蓝藻淀粉（cyanophycean starch）。 蓝藻细胞壁主要由两层组成，内层为肽聚糖层，外层为脂蛋白层，两层之间为周质空间，含有脂多糖和降解酶，胞壁外往往包有多糖构成的粘质胶鞘或胶被。胞壁内有原生质膜，膜内原生质较稠，可分为两个主要区域，即周围的有光合色素的色质区和中央的无色的中心质区。中心质区有 DNA微丝，但无碱性蛋白（组蛋白）。核糖体在整个细胞中均有分布，但在中央区周围较为密集。原生质中常具有大小不等的强反光颗粒，如多磷酸体，多面体（羧化酶体），蓝藻体（天门冬氨酸和精氨酸聚合体的结晶，又称结构颗粒），多聚糖体（又称蓝藻淀粉或糖原）等。浮游蓝藻往往有伪空胞（又称气泡），为两端呈锥形的具单层蛋白质膜的空管成束排列所组成，有遮强光和漂浮的功能。蓝藻的光合色素是叶绿素a，藻胆素（藻蓝素、别藻蓝素、藻红素和藻红蓝素），及多种类胡萝卜素。它能采收光能，以水作为电子来源进行光合作用，固定CO2，放出氧气。它和其他植物一样，进行自养生活。藻体是单细胞的或群体，丝状体；不具鞭毛，不产游动细胞一部分丝状种类能伸缩或左右摆动。细胞壁缺乏纤维素，由黏肽（含8种氨基酸和二氨基庚二酸以及氨基葡萄糖等）组成，壁外常形成黏性胶质鞘。无真正的细胞核，核的组成物质染色质集中在细胞中央，无核膜和核仁，细胞内除含叶绿素和类胡萝卜素外，尚含有藻蓝素，部分种类还含有藻红素。色素不包在质体内，而是分散在细胞质的边缘部分。藻体因所含色素的种类和多寡不同而呈现不同的颜色。储藏食物为蓝藻淀粉。繁殖方法主要是分裂生殖，少数为无性生殖，无性生殖包括外孢生殖，内孢生殖，后壁生殖，没有有性生殖。主要分布在含有机质较多的淡水中，部分生活在湿土、岩石、树干上和海洋中，有的同真菌共生形成地衣，或生活在植物体内形成内生植物。少数种类能生活在85 ℃以上的温泉内或终年积雪的极地。本门的项圈藻属，念珠藻属和筒孢藻属等的若干种有固氮作用，能增强土壤肥力；葛仙米，发菜，海雹菜等可供食用，微胞藻属，项圈藻属等在夏季生长过多时，能降低水中含氧量，或死后分解产生毒质，能使鱼类致病或死亡。蓝藻分布很广，在淡水和海水中、潮湿和干旱的土壤和岩石上、树干和树叶以及温泉、冰雪，甚至在盐卤池、岩石缝等处都可生存，有些还可穿入钙质岩石或钙质皮壳中（如穿钙藻类）生活，具有极大的适应性。在热带、亚热带的中性或微碱性环境中生长特别旺盛。有许多种类是普生性的，如陆生的地木耳(Nostoc commune)，不仅存在于热带、亚热带和温带，在寒带甚至南极洲亦有发现。蓝藻的抗逆性很强，能耐干旱，有些干燥标本存贮65～106年还可保持活力。中国的固氮鱼腥藻(Anabaenaazotica)干燥保存19年后再重新培育时还能生长和固氮。有些蓝藻能在76℃温泉中生长繁殖，有的在54℃条件下还能生长固氮（如鞭枝藻Mastigocladus laminosum)；有的可抗-35℃的低温（如地木耳）；有一些在过饱和盐水中也可生长。因此，蓝藻常是先锋植物。1971年法国斯塔尼尔等基于蓝藻在原核、细胞壁组成，脂肪酸和DNA碱基组成等特性上与细菌相近似，提出蓝藻应命名为蓝细菌。已逐渐为微生物学家、生理生化学家等所采用。但是，蓝藻具有能以水作为电子来源进行光合作用放氧，低的内源呼吸率，有限的利用有机物作为能源和碳源的能力等属于植物界的主要属性，为原有的“细菌”属性所不包容。蓝藻基本上按英国藻类学家F.E.弗里奇的分类系统，分为色球藻目(Chroococcales)、宽球藻目(Pleurocapsales)、管胞藻目(Chamaesiphonales)、念珠藻目(Nostocales)和真枝藻目(Stigonemales)等5个目。
deferribacteres,脱铁杆菌门,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1492607137943&di=1c580010b90b73e5ff149591208898fb&imgtype=0&src=http%3A%2F%2Ff.hiphotos.baidu.com%2Fbaike%2Fs%253D220%2Fsign%3Df1fc14785edf8db1b82e7b663922dddb%2Fc2cec3fdfc0392457b14f4ef8794a4c27c1e25a8.jpg,自然 细菌 生物物种 微生物,脱铁杆菌门(Deferribacteres)是一类通过专性或兼性厌氧代谢获得能量的细菌。,脱铁杆菌门(Deferribacteres)是一类通过专性或兼性厌氧代谢获得能量的细菌。脱铁杆菌门(Deferribacteres)是一类通过专性或兼性厌氧代谢获得能量的细菌，可利用多种电子受体。
